Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022]
Tanzania,TZA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,126.9,132.7
Thailand,THA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,109.8,114.4
Timor-Leste,TLS,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,141.9,215.8
Togo,TGO,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,130,155.5
Tonga,TON,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,114.3,101.1
Trinidad and Tobago,TTO,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,154.1,213.2
Tunisia,TUN,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,120,123.1
Turkiye,TUR,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,103.1,112.6
Turkmenistan,TKM,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,181.7,328.9
Turks and Caicos Islands,TCA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,114.9,122.4
Tuvalu,TUV,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,..,..
Uganda,UGA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,126.5,138.6
Ukraine,UKR,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,193.4,209.4
United Arab Emirates,ARE,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,124.5,154.2
United Kingdom,GBR,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,102.8,106.2
United States,USA,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,112.5,127.1
Uruguay,URY,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,103.7,113.9
Uzbekistan,UZB,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,144.5,166.9
Vanuatu,VUT,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,109.1,117.8
"Venezuela, RB",VEN,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,103.8,191.9
