Country/Area,Year,Unit, Final consumption expenditure , Household consumption expenditure (including Non-profit institutions serving households) , General government final consumption expenditure , Gross capital formation , Gross fixed capital formation (including Acquisitions less disposals of valuables) , Changes in inventories ,Exports of goods and services,Imports of goods and services,Gross Domestic Product (GDP)
Nicaragua,2022,US$,12569151808.33,10514245853.56,2053548689.35,3262361977.68,3123914434.22,27785488.78,7172098034.17,8283296590.62,14728776396.81
Niger,2022,US$,12366196513.51,10122341106.47,2243855407.05,4075122769.22,4054967356.18,20155413.04,1521563045.07,3624811517.68,14338070809.98
Nigeria,2022,US$,497042712765.58,464442718903.29,31801716094.08,76174417168.00,72783980523.39,3379864834.35,55416858037.18,81736059269.34,537025369262.98
Northern Africa,2022,US$,807055911950.59,668778376441.84,142946341391.38,224172726771.80,194662491187.47,17791092206.99,208919349306.38,249980836366.99,959918366933.28
Northern America,2022,US$,18955693360587.10,15712108182134.90,3242804406217.14,5175112765673.72,5004096597528.65,128035410222.20,2946962183691.67,4147775441753.55,22994456984758.30
Northern Europe,2022,US$,3992275167371.63,2942714000374.01,1117070514387.84,1134231087628.67,1120683648396.75,29663325597.30,2577996478878.02,2316444881290.81,5481446033784.74
Norway,2022,US$,285530805001.55,186212793221.04,99429120595.23,119436519582.52,108999398716.94,10452142072.24,168020708897.39,137329378939.75,434585264028.11
Oceania,2022,US$,1387171188566.19,982415897879.52,404317152679.73,430591175930.88,424180755802.94,5330934187.01,329535083017.11,403070514366.22,1736101483627.77
Oman,2022,US$,47544145200.96,32180695201.98,15800138462.66,30336707758.53,31552844763.97,-120696.56,45741798609.10,37824207441.77,86294519869.94
Pakistan,2022,US$,406280410139.98,367676707472.39,38768137695.16,55496926587.75,49041887272.07,6444891149.35,44821052528.44,109375033330.27,402312466057.26
Palau,2022,US$,250385651.00,180088948.00,75675036.00,81144502.00,81291760.00,-147258.00,23437920.00,140422556.00,210380701.86
Panama,2022,US$,46069223309.14,36945671233.89,9083104876.67,23416765949.55,20777938491.05,2677117752.51,33269511065.82,32505500072.85,70310336412.45
Papua New Guinea,2022,US$,20722781127.95,21008585387.85,58341884.33,2188876358.30,2077940628.13,131352782.31,14810818399.02,11109478673.39,24976660485.84
Paraguay,2022,US$,32747011665.54,27866775778.94,4881273028.48,11548751865.76,9267202229.23,2385289660.66,13089132034.97,15279826269.45,41995687741.55
Peru,2022,US$,180600794719.16,148594890189.40,32113056545.53,47061509496.88,51455368975.10,-1451378846.87,53777386287.52,57763194687.78,223193706496.55
Philippines,2022,US$,353150067642.44,293252232605.59,59864280871.70,90610835412.31,93590696171.99,-8453647782.30,123215721877.97,158372593867.32,407690006244.19
Poland,2022,US$,471118450722.91,361291683247.12,109658044833.53,143529911128.80,113685223510.15,29393657361.55,358922668788.96,344063138347.26,630290224167.66
Polynesia,2022,US$,7564376422.89,5283411327.33,2146654807.67,1908639156.49,1872843955.13,-21252452.46,1268552917.23,3358866779.34,7477149820.50
Portugal,2022,US$,188270076849.23,149008156870.57,39267599509.63,44353473653.95,43241219470.90, ... ,106565874779.41,109258775425.11,230231869067.35
Puerto Rico,2022,US$,84697492659.69,75641093398.06,9376444047.12,13060450838.20,12958998991.48,120440666.67,94420840649.80,86643407127.59,95855079058.75
Qatar,2022,US$,69105651932.00,32771281000.61,36052412458.57,80431811998.41,80431811998.41, ... ,85974169398.99,62239819947.34,171751919189.61
Republic of Korea,2022,US$,1122552429701.43,811358630429.45,310079807630.68,511345502284.16,506482961037.70,11664953819.43,778174126945.19,668240099190.43,1740552929189.79
Republic of Moldova,2022,US$,9420135554.95,8076554004.82,1192001871.07,2681271893.28,2677479252.59, ... ,4236402963.72,7394678495.36,9004000404.40
Republic of North Macedonia,2022,US$,10295141530.03,8544667123.35,1764184276.14,3716741973.12,3315777733.99, ... ,8080667354.23,10857366939.33,11385896527.38
Romania,2022,US$,191585337438.63,161118423899.48,30466838645.25,61632936673.05,56649960244.08,4922675164.64,114279354248.15,137540650744.78,232157360406.09
Russian Federation,2022,US$,1082251046494.88,800668042052.03,281210503554.94,333739142979.43,327153337543.51,14512122969.93,384246532145.63,300654868563.69,1471545625471.59
Rwanda,2022,US$,11871247951.86,9659688698.45,2189331902.90,2691595172.40,2981971478.79, ... ,2935931602.13,4601580497.11,12933613304.69
Saint Kitts and Nevis,2022,US$,839057895.91,654945440.38,184112455.09,298547084.48,298547084.48, ... ,354189271.47,528455656.81,963338595.04
Saint Lucia,2022,US$,1473214770.35,1255199501.72,218015269.00,401762762.28,401762762.28, ... ,999635661.13,975117478.96,1899495715.70
Saint Vincent and the Grenadines,2022,US$,791001253.23,620800259.06,160565989.49,323434028.13,323454416.57, ... ,249961565.59,476008514.93,884023023.72
Samoa,2022,US$,793315746.60,641443573.80,153088467.97,307340660.40,260598847.86,-11275335.94,181058776.21,484465268.99,798400813.93
San Marino,2022,US$,839182707.15,542184752.06,295076129.83,327028972.57,299775769.95,178374751.55,3629068682.29,3234897825.70,1601329076.01
Sao Tome and Principe,2022,US$,340834055.17,255228089.84,81546906.79,150538087.40,150538087.37, ... ,74720519.30,173427348.22,380778204.17
Saudi Arabia,2022,US$,535264171948.44,337552580830.26,197050590621.09,209155347877.50,225839495982.07,-20540754642.20,248988089035.04,222291717034.00,767097338005.65
